character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
101228281,Reava,alleria,76.0,11264.0,58.0,40.0,80.0,62.0,68.0,70.0,65.0,76.0,52.0,75.0,53.0,62.0,33.0,39.0,43.0,20.0,60.0,100.0,50.0,31.0,10.0,15.0,26.0,19.0,20.0,34.0,33.0,27.0,4.0,32.0,8.0,3.0,18.0,21.0,10.0,5.0,2.0,6.0,18.0,4.0,12.0,16.0,13.0,14.0,22.0,25.0,14.0,3.0,17.0,5.0,1.0,7.0,9.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,
180191286,Альтошка,gordunni,17.0,3076.0,75.0,33.0,,67.0,,0.0,25.0,43.0,67.0,,25.0,0.0,100.0,71.0,100.0,0.0,50.0,,33.0,4.0,6.0,,3.0,,1.0,4.0,7.0,6.0,,4.0,1.0,2.0,7.0,1.0,2.0,2.0,,3.0,3.0,2.0,,2.0,,0.0,1.0,3.0,4.0,,1.0,0.0,2.0,5.0,1.0,0.0,1.0,,1.0,,,,,,,,,,,,
114099878,ßlackßull,hyjal,12.0,1250.0,50.0,67.0,0.0,,,0.0,0.0,0.0,100.0,,0.0,,,,,0.0,50.0,,,2.0,3.0,1.0,,,1.0,4.0,3.0,1.0,,4.0,,,,,1.0,2.0,,,1.0,2.0,0.0,,,0.0,0.0,0.0,1.0,,0.0,,,,,0.0,1.0,,,,,,,,,,,,,,
83741128,Talaessa,pozzo-delleternità,8.0,9343.0,65.0,45.0,22.0,38.0,70.0,20.0,,0.0,,,,,,,100.0,,100.0,100.0,,17.0,11.0,9.0,13.0,10.0,10.0,,1.0,,,,,,,1.0,,1.0,11.0,,11.0,5.0,2.0,5.0,7.0,2.0,,0.0,,,,,,,1.0,,1.0,11.0,,,,,,,,,,,,,
218020568,Zephyrindark,sylvanas,62.0,5598.0,100.0,100.0,,62.0,,0.0,53.0,62.0,71.0,100.0,94.0,67.0,50.0,50.0,77.0,56.0,100.0,,60.0,2.0,1.0,,8.0,,1.0,17.0,21.0,14.0,2.0,17.0,6.0,2.0,18.0,13.0,9.0,1.0,,15.0,2.0,1.0,,5.0,,0.0,9.0,13.0,10.0,2.0,16.0,4.0,1.0,9.0,10.0,5.0,1.0,,9.0,100.0,1.0,1.0,,,,,,,,,
199152184,Слипноумо,gordunni,16.0,1928.0,50.0,,,100.0,,,67.0,60.0,,,50.0,,,75.0,0.0,67.0,0.0,,33.0,2.0,,,5.0,,,6.0,10.0,,,2.0,,,8.0,1.0,3.0,1.0,,3.0,1.0,,,5.0,,,4.0,6.0,,,1.0,,,6.0,0.0,2.0,0.0,,1.0,,,,,,,,,,,,
155148357,Padogorek,silvermoon,115.0,28240.0,61.0,37.0,35.0,35.0,47.0,74.0,48.0,44.0,47.0,167.0,61.0,60.0,29.0,60.0,50.0,63.0,54.0,100.0,57.0,41.0,59.0,40.0,46.0,45.0,47.0,64.0,71.0,74.0,3.0,116.0,57.0,7.0,20.0,22.0,19.0,13.0,5.0,7.0,25.0,22.0,14.0,16.0,21.0,35.0,31.0,31.0,35.0,5.0,71.0,34.0,2.0,12.0,11.0,12.0,7.0,5.0,4.0,25.0,12.0,3.0,81.0,26.0,21.0,,,,,,
179780759,Bloodemous,pozzo-delleternità,23.0,77649.0,35.0,61.0,55.0,60.0,49.0,46.0,49.0,49.0,59.0,,55.0,44.0,,,100.0,,67.0,100.0,,248.0,286.0,174.0,199.0,188.0,184.0,104.0,51.0,145.0,,71.0,36.0,,,1.0,,3.0,96.0,,86.0,175.0,96.0,119.0,92.0,84.0,51.0,25.0,86.0,,39.0,16.0,,,1.0,,2.0,96.0,,,,,,,,83.0,6.0,5.0,,,
183013498,Гидгуд,gordunni,39.0,3035.0,100.0,50.0,100.0,50.0,,100.0,12.0,73.0,88.0,,75.0,100.0,50.0,100.0,83.0,67.0,,,67.0,1.0,4.0,1.0,6.0,,1.0,8.0,11.0,8.0,,12.0,1.0,2.0,7.0,6.0,6.0,,,6.0,1.0,2.0,1.0,3.0,,1.0,1.0,8.0,7.0,,9.0,1.0,1.0,7.0,5.0,4.0,,,4.0,,,,,,,,,,,,
112282407,Serupiya,silvermoon,55.0,17143.0,80.0,82.0,66.0,77.0,71.0,65.0,65.0,70.0,70.0,,77.0,69.0,0.0,93.0,11.0,100.0,40.0,100.0,78.0,25.0,62.0,58.0,44.0,24.0,20.0,49.0,66.0,71.0,,43.0,39.0,1.0,15.0,9.0,1.0,5.0,1.0,9.0,20.0,51.0,38.0,34.0,17.0,13.0,32.0,46.0,50.0,,33.0,27.0,0.0,14.0,1.0,1.0,2.0,1.0,7.0,50.0,2.0,1.0,,,,0.0,1.0,0.0,,,
217850493,Mordréd,sylvanas,20.0,522.0,75.0,,,,,100.0,,100.0,0.0,,0.0,,50.0,0.0,100.0,0.0,,,100.0,4.0,,,,,1.0,,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,,,1.0,3.0,,,,,1.0,,1.0,0.0,,0.0,,1.0,0.0,1.0,0.0,,,1.0,,,,,,,,,,,,
168959257,Bultsax,tarren-mill,3.0,249.0,,0.0,,,,,,0.0,,,,50.0,,,,50.0,,,,,1.0,,,,,,1.0,,,,2.0,,,,2.0,,,,,0.0,,,,,,0.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
83673678,Rpqs,blackhand,18.0,8187.0,11.0,62.0,80.0,74.0,100.0,0.0,74.0,57.0,80.0,,59.0,50.0,,50.0,0.0,,,,100.0,9.0,26.0,20.0,19.0,10.0,4.0,23.0,21.0,35.0,,22.0,28.0,,6.0,1.0,,,,1.0,1.0,16.0,16.0,14.0,10.0,0.0,17.0,12.0,28.0,,13.0,14.0,,3.0,0.0,,,,1.0,,,,,,,,,,,,
155250431,Deviouslight,drakthul,12.0,3659.0,40.0,,,33.0,,67.0,25.0,33.0,67.0,,0.0,,100.0,100.0,25.0,100.0,40.0,,67.0,5.0,,,3.0,,6.0,4.0,3.0,6.0,,3.0,,2.0,4.0,4.0,1.0,5.0,,3.0,2.0,,,1.0,,4.0,1.0,1.0,4.0,,0.0,,2.0,4.0,1.0,1.0,2.0,,2.0,60.0,10.0,6.0,,,,100.0,1.0,1.0,,,
226096042,Bleguta,sylvanas,18.0,393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,
77929426,Heràgon,pozzo-delleternità,13.0,5957.0,50.0,40.0,67.0,88.0,,80.0,56.0,38.0,70.0,,88.0,100.0,100.0,88.0,100.0,67.0,100.0,100.0,40.0,4.0,5.0,3.0,8.0,,5.0,9.0,8.0,10.0,,8.0,1.0,3.0,8.0,2.0,6.0,1.0,5.0,5.0,2.0,2.0,2.0,7.0,,4.0,5.0,3.0,7.0,,7.0,1.0,3.0,7.0,2.0,4.0,1.0,5.0,2.0,,,,,,,67.0,3.0,2.0,,,
193091808,Thaladriana,aegwynn,17.0,8020.0,44.0,75.0,0.0,44.0,12.0,67.0,53.0,50.0,59.0,50.0,80.0,57.0,33.0,87.0,53.0,43.0,100.0,,36.0,9.0,4.0,1.0,9.0,8.0,9.0,17.0,26.0,22.0,4.0,15.0,7.0,6.0,15.0,15.0,7.0,2.0,,14.0,4.0,3.0,0.0,4.0,1.0,6.0,9.0,13.0,13.0,2.0,12.0,4.0,2.0,13.0,8.0,3.0,2.0,,5.0,,,,,,,50.0,8.0,4.0,,,
153078382,Anorwen,pozzo-delleternità,14.0,4849.0,42.0,25.0,0.0,44.0,,50.0,14.0,0.0,33.0,,50.0,31.0,,43.0,0.0,67.0,100.0,100.0,,12.0,4.0,6.0,9.0,,20.0,7.0,2.0,3.0,,10.0,16.0,,7.0,1.0,3.0,4.0,1.0,,5.0,1.0,0.0,4.0,,10.0,1.0,0.0,1.0,,5.0,5.0,,3.0,0.0,2.0,4.0,1.0,,,,,,,,0.0,1.0,0.0,,,
134200391,Chuipàlà,sargeras,31.0,1749.0,50.0,50.0,67.0,0.0,,0.0,60.0,17.0,62.0,,50.0,0.0,,83.0,,0.0,,,0.0,2.0,8.0,3.0,3.0,,1.0,5.0,6.0,8.0,,2.0,1.0,,6.0,,1.0,,,1.0,1.0,4.0,2.0,0.0,,0.0,3.0,1.0,5.0,,1.0,0.0,,5.0,,0.0,,,0.0,,,,,,,,,,,,
156018554,Pestiferos,ysondre,7.0,43.0,0.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194466614,Narletto,pozzo-delleternità,17.0,2730.0,0.0,,,,,67.0,60.0,33.0,100.0,,33.0,,0.0,50.0,50.0,67.0,100.0,,67.0,2.0,,,,,3.0,10.0,3.0,2.0,,12.0,,2.0,2.0,2.0,6.0,2.0,,3.0,0.0,,,,,2.0,6.0,1.0,2.0,,4.0,,0.0,1.0,1.0,4.0,2.0,,2.0,100.0,1.0,1.0,,,,0.0,1.0,0.0,50.0,2.0,1.0
140005636,Adamantix,pozzo-delleternità,34.0,7773.0,52.0,35.0,39.0,50.0,36.0,65.0,33.0,36.0,36.0,0.0,31.0,24.0,0.0,,50.0,75.0,100.0,,0.0,23.0,20.0,18.0,14.0,11.0,23.0,18.0,11.0,28.0,1.0,16.0,21.0,2.0,,2.0,4.0,1.0,,1.0,12.0,7.0,7.0,7.0,4.0,15.0,6.0,4.0,10.0,0.0,5.0,5.0,0.0,,1.0,3.0,1.0,,0.0,,,,,,,,,,,,
